16|16|
0|0|0|1|1|
1|0|1|0|1|
2|0|0|1|1|
3|0|1|0|0|
4|0|0|0|1|
5|0|0|0|1|
6|0|0|1|1|
7|0|1|0|0|
16|1|0|0|1|
17|1|0|0|1|
18|1|0|1|1|
19|0|1|0|0|
20|1|0|0|1|
21|1|0|0|1|
22|1|0|1|1|
23|0|1|0|0|
24|0|0|1|1|
25|0|1|0|1|
32|1|0|0|0|
33|1|0|0|0|
34|1|0|1|0|
35|0|1|0|0|
36|1|0|1|0|
37|1|1|0|0|
38|1|0|1|0|
39|0|1|0|0|
40|1|0|0|0|
41|1|0|0|0|
64|0|0|1|1|
65|0|1|0|0|
66|0|0|1|1|
67|0|1|0|1|
68|0|0|1|1|
69|0|1|0|1|
70|0|0|1|1|
71|0|1|0|1|
72|0|0|1|1|
73|0|1|0|1|
80|1|0|1|1|
81|0|1|0|1|
82|1|0|0|1|
83|1|0|0|1|
84|1|0|0|1|
85|1|0|0|1|
86|1|0|0|1|
87|1|0|0|1|
88|1|0|1|1|
89|1|1|0|1|
96|1|0|1|0|
97|1|1|0|0|
98|1|0|1|0|
99|1|1|0|0|
100|1|0|0|0|
101|1|0|0|0|
102|1|0|0|0|
103|1|0|0|0|
104|1|0|0|0|
105|1|0|0|0|
112|0|0|1|1|
113|0|1|0|0|
114|0|0|0|1|
115|0|0|0|1|
116|0|0|0|1|
117|0|0|1|1|
118|0|1|0|0|
120|0|0|0|1|
122|0|0|0|1|
123|0|0|1|1|
124|0|1|0|1|
125|0|0|0|1|
126|0|0|0|1|
128|1|0|1|1|
129|0|1|0|1|
130|1|0|0|1|
131|1|0|0|1|
132|1|0|0|1|
133|1|0|1|1|
134|0|1|0|0|
136|1|0|1|0|
137|0|1|1|1|
138|1|1|0|0|
139|1|0|0|1|
140|1|0|0|1|
141|1|0|0|1|
142|1|0|0|1|
144|1|0|1|0|
145|1|1|0|0|
146|1|0|0|0|
147|1|0|1|0|
148|1|1|0|0|
149|1|0|1|0|
150|0|1|0|0|
153|1|0|0|0|
155|1|0|1|0|
156|1|1|0|0|
157|1|0|1|0|
158|1|1|0|0|
160|0|0|0|1|
161|0|0|0|1|
162|0|0|1|1|
163|0|1|0|1|
176|1|0|0|1|
177|1|0|0|1|
178|1|0|1|1|
179|1|1|0|0|
192|1|0|1|0|
193|1|1|0|0|
194|1|0|0|0|
